marketplace_listing_title,vehicle_exterior_color,vehicle_fuel_type,vehicle_make_display_name,vehicle_model_display_name,vehicle_transmission_type,kms,price,state,year
2012 Honda Civic,blue,PETROL,HONDA,CIVIC,MANUAL,117300,9250,SA,2012
2005 Volkswagen Caddy,grey,DIESEL,VOLKSWAGEN,CADDY,MANUAL,40000,4000,SA,2005
2024 Toyota RAV4,grey,PETROL,TOYOTA,RAV4,AUTOMATIC,68500,52000,SA,2024
2017 Renault Trafic,white,DIESEL,RENAULT,TRAFIC,MANUAL,159000,17500,SA,2017
2011 Holden Cruze,silver,PETROL,HOLDEN,CRUZE,AUTOMATIC,119000,5000,SA,2011
2008 Mitsubishi Lancer,black,PETROL,MITSUBISHI,LANCER,AUTOMATIC,260000,5000,SA,2008
2023 MG ZS,white,PETROL,MG,ZS,AUTOMATIC,21000,19000,SA,2023
2013 Subaru XV ,green,PETROL,SUBARU,XV,AUTOMATIC,281093,8888,SA,2013
2008 Holden Caprice,grey,OTHER,HOLDEN,CAPRICE,AUTOMATIC,230000,8950,SA,2008
2025 Porsche Macan,white,PETROL,PORSCHE,MACAN,AUTOMATIC,300,144999,SA,2025
2020 Ford Mustang,silver,PETROL,FORD,MUSTANG,AUTOMATIC,25000,63400,VIC,2020
2013 Holden Captiva,red,DIESEL,HOLDEN,CAPTIVA,AUTOMATIC,176000,5250,VIC,2013
2009 Toyota Aurion,white,PETROL,TOYOTA,AURION,AUTOMATIC,201000,6300,VIC,2009
2016 Renault Kangoo,red,PETROL,RENAULT,KANGOO,AUTOMATIC,90000,11990,VIC,2016
2015 Holden Commodore,silver,PETROL,HOLDEN,COMMODORE,AUTOMATIC,180000,10500,VIC,2015
2013 BMW 116i,white,PETROL,BMW,SERIES 1,AUTOMATIC,103296,13500,VIC,2013
2010 Nissan 370Z,black,OTHER,NISSAN,370Z,MANUAL,148000,22000,VIC,2010
2014 Hyundai Ix35,silver,OTHER,HYUNDAI,IX35,AUTOMATIC,222902,10000,VIC,2014
2025 Isuzu MU-X,grey,DIESEL,ISUZU,MU-X,AUTOMATIC,9220,58900,VIC,2025
2015 Toyota Kluger GX,grey,PETROL,TOYOTA,KLUGER,AUTOMATIC,159057,21800,VIC,2015
2011 Volvo V60,black,PETROL,VOLVO,V60,AUTOMATIC,88000,9500,VIC,2011
2018 Ford Ranger,white,DIESEL,FORD,RANGER,AUTOMATIC,124500,19990,VIC,2018
2021 Ford Everest,white,DIESEL,FORD,EVEREST,AUTOMATIC,171000,27000,VIC,2021
2016 Volkswagen Scirocco,blue,PETROL,VOLKSWAGEN,SCIROCCO,AUTOMATIC,142123,21000,VIC,2016
2008 Holden Calais,gold,PETROL,HOLDEN,CALAIS,AUTOMATIC,209000,5200,VIC,2008
2017 Toyota C-HR,grey,HYBRID,TOYOTA,C-HR,AUTOMATIC,95200,22000,VIC,2017
2014 Mercedes-Benz CLA 200,grey,PETROL,MERCEDES-BENZ,A-CLASS,AUTOMATIC,94500,19500,WA,2014
2017 Holden Captiva,grey,DIESEL,HOLDEN,CAPTIVA,AUTOMATIC,155000,9000,WA,2017
2013 Mercedes-Benz A200,black,PETROL,MERCEDES-BENZ,A-CLASS,AUTOMATIC,149000,11600,VIC,2013
2007 Hyundai Elantra,gold,PETROL,HYUNDAI,ELANTRA,AUTOMATIC,265310,3200,WA,2007
2009 Ford Focus,blue,PETROL,FORD,FOCUS,AUTOMATIC,186000,9500,WA,2009
2015 Toyota Yaris,blue,PETROL,TOYOTA,YARIS,MANUAL,153000,13000,WA,2015
2013 Jeep Wrangler Unlimited,black,PETROL,JEEP,WRANGLER,AUTOMATIC,195000,18000,WA,2013
2005 Nissan Pulsar,white,PETROL,NISSAN,PULSAR,AUTOMATIC,225000,3600,WA,2005
2014 Volkswagen Golf,silver,PETROL,VOLKSWAGEN,GOLF,AUTOMATIC,147000,8950,WA,2014
2003 Holden Monaro CV8,blue,PETROL,HOLDEN,MONARO,AUTOMATIC,74500,44887,WA,2003
2007 Subaru liberty,grey,PETROL,SUBARU,LIBERTY,AUTOMATIC,233694,6500,WA,2007
2002 Holden Commodore,white,OTHER,HOLDEN,COMMODORE,AUTOMATIC,300000,6000,WA,2002
2019 Honda CR-V,grey,PETROL,HONDA,CR-V,AUTOMATIC,77700,19000,WA,2019
2016 Mercedes-Benz gle 250d,white,DIESEL,MERCEDES-BENZ,GLE,AUTOMATIC,170000,23000,WA,2016
2022 Toyota Camry,white,HYBRID,TOYOTA,CAMRY,AUTOMATIC,75000,31800,WA,2022
2015 Toyota Landcruiser Prado,silver,DIESEL,TOYOTA,LANDCRUISER,AUTOMATIC,186000,39900,WA,2015
2008 Jaguar X-TYPE,silver,PETROL,JAGUAR,X-TYPE,AUTOMATIC,108000,8000,WA,2008
2023 Ford Everest,white,DIESEL,FORD,EVEREST,AUTOMATIC,72000,77000,WA,2023
2020 MG HS Essance SAS23,red,PETROL,MG,HS,AUTOMATIC,54756,18000,WA,2020
1997 Holden Commodore,yellow,PETROL,HOLDEN,COMMODORE,AUTOMATIC,169000,43000,WA,1997
2013 Ford Territory,silver,PETROL,FORD,TERRITORY,AUTOMATIC,128000,13500,QLD,2013
2004 Toyota Landcruiser 100,grey,DIESEL,TOYOTA,LANDCRUISER,AUTOMATIC,420000,37500,QLD,2004
2016 Holden Holden Colorado,red,OTHER,HOLDEN,COLORADO,AUTOMATIC,160075,21999,QLD,2016
